Num,Acronym,Description,Author,Pub Year,Category,Main Formula,Other Formula,CRSP,Compustat(annual),Compustat(quarterly),IBES,description
A.3.19,dNca,changes in Non-current Operating Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment,data_rawa['dnca'] = data_rawa['nco'] - data_rawa['nco'].shift(1),"# dNca
data_rawa['ivao_0'] = np.where(data_rawa['ivao'].isnull(), 0, data_rawa['ivao'])
data_rawa['dltt_0'] = np.where(data_rawa['dltt'].isnull(), 0, data_rawa['dltt'])
data_rawa['nca'] = data_rawa['at'] - data_rawa['act'] - data_rawa['ivao_0']
data_rawa['ncl'] = data_rawa['lt'] - data_rawa['lct'] - data_rawa['dltt_0'] 
data_rawa['nco'] = data_rawa['nca'] - data_rawa['ncl']
",0,1,0,0,"dNco is the change in net non-current operating assets. Net non-current operating assets are non- current operating assets (Nca) minus non-current operating liabilities (Ncl), with Nca = total assets (Compustat annual item AT) - current assets (item ACT) - long-term investments (item IVAO), and Ncl = total liabilities (item LT) - current liabilities (item LCT) - long-term debt (item DLTT). dNca is the change in non-current operating assets and dNcl is the change in non-current operating liabilities. Missing changes in long-term investments and long-term debt are set to zero. At the end of June of each year t, we sort stocks into deciles based, separately, on dNco, dNca, and dNcl for the fiscal year ending in calendar year t - 1, all scaled by total assets for the fiscal year ending in calendar year t - 2. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.19,dNco,Changes in Net Non-current Operating Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment,data_rawa['dnco'] = data_rawa['nco'] - data_rawa['nco'].shift(1),"# dNco
data_rawa['nca'] = data_rawa['at'] - data_rawa['act'] - data_rawa['ivao']
data_rawa['ncl'] = data_rawa['lt'] - data_rawa['lct'] - data_rawa['dltt'] 
data_rawa['nco'] = data_rawa['nca'] - data_rawa['ncl']",0,1,0,0,"dNco is the change in net non-current operating assets. Net non-current operating assets are non- current operating assets (Nca) minus non-current operating liabilities (Ncl), with Nca = total assets (Compustat annual item AT) - current assets (item ACT) - long-term investments (item IVAO), and Ncl = total liabilities (item LT) - current liabilities (item LCT) - long-term debt (item DLTT). dNca is the change in non-current operating assets and dNcl is the change in non-current operating liabilities. Missing changes in long-term investments and long-term debt are set to zero. At the end of June of each year t, we sort stocks into deciles based, separately, on dNco, dNca, and dNcl for the fiscal year ending in calendar year t - 1, all scaled by total assets for the fiscal year ending in calendar year t - 2. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.2,I/A, Investment-to-assets,"Cooper, Gulen, and Schill",2008,Investment,data_rawa['ia'] = (data_rawa['at']/data_rawa['at_l1'])-1,data_rawa['at_l1'] = data_rawa.groupby(['permno'])['at'].shift(1),1,1,0,0,"At the end of June of each year t, we sort stocks into deciles based on investment-to-assets, I/A, which is measured as total assets (Compustat annual item AT) for the fiscal year ending in calendar year t-1 divided by total assets for the fiscal year ending in t-2 minus one. Monthly decile returns are computed from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.20,dBe,Changes in Net Financial Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment,data_rawa['dBe'] = (data_rawa['ceq'] - data_rawa['ceq'].shift(1)) / data_rawa['at'].shift(1),,0,1,0,0,"dFin is the change in net financial assets. Net financial assets are financial assets (Fna) minus financial liabilities (Fnl), with Fna = short-term investments (Compustat annual item IVST) + long-term investments (item IVAO), and Fnl = long-term debt (item DLTT) + debt in current liabilities (item DLC) + preferred stock (item PSTK). dSti is the change in short-term investments, dLti is the change in long-term investments, and dFnl is the change in financial liabilities. dBe is the change in book equity (item CEQ). Missing changes in debt in current liabilities, long-term investments, long-term debt, short-term investments, and preferred stocks are set to zero (at least one change has to be non-missing when constructing any variable). When constructing dSti (dLti), we exclude firms that do not have long-term (short-term) investments in the past two fiscal years. At the end of June of each year t, we sort stocks into deciles based, separately, on dFin, dSti, dLti, dFnl, and dBe for the fiscal year ending in calendar year t - 1, all scaled by total assets (item AT) for the fiscal year ending in calendar year t - 2. Monthly decile returns are calculated from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.20,dFin,changes in Financial Liabilities,"Richardson, Sloan, Soliman, and Tuna",2005,Investment,data_rawa['dfin'] = data_rawa['dfin'] / data_rawa['at'].shift(1),"data_rawa['fna'] = data_rawa['ivst'] + data_rawa['ivao']
data_rawa['fnl'] = data_rawa['dltt'] + data_rawa['dlc'] + data_rawa['pstk']

data_rawa['d_dlc'] = data_rawa['dlc'] - data_rawa['dlc'].shift(1)
data_rawa['d_dlc'] = np.where(data_rawa['d_dlc'].isnull(), 0, data_rawa['d_dlc'])
data_rawa['d_pstk'] = data_rawa['pstk'] - data_rawa['pstk'].shift(1)
data_rawa['d_pstk'] = np.where(data_rawa['d_pstk'].isnull(), 0, data_rawa['d_pstk'])

data_rawa['dfnl'] = (data_rawa['dltt']-data_rawa['dltt'].shift(1)) + data_rawa['d_dlc'] + data_rawa['d_pstk']

data_rawa['d_ivst'] = data_rawa['ivst'] - data_rawa['ivst'].shift(1)
data_rawa['d_ivst'] = np.where(data_rawa['d_ivst'].isnull(), 0, data_rawa['d_ivst'])
data_rawa['d_ivao'] = data_rawa['ivao'] - data_rawa['ivao'].shift(1)
data_rawa['d_ivao'] = np.where(data_rawa['d_ivao'].isnull(), 0, data_rawa['d_ivao'])

data_rawa['dfna'] = data_rawa['d_ivst'] + data_rawa['d_ivao']
data_rawa['dfin'] = data_rawa['dfna'] - data_rawa['dfnl']",0,1,0,0,"dFin is the change in net financial assets. Net financial assets are financial assets (Fna) minus financial liabilities (Fnl), with Fna = short-term investments (Compustat annual item IVST) + long-term investments (item IVAO), and Fnl = long-term debt (item DLTT) + debt in current liabilities (item DLC) + preferred stock (item PSTK). dSti is the change in short-term investments, dLti is the change in long-term investments, and dFnl is the change in financial liabilities. dBe is the change in book equity (item CEQ). Missing changes in debt in current liabilities, long-term investments, long-term debt, short-term investments, and preferred stocks are set to zero (at least one change has to be non-missing when constructing any variable). When constructing dSti (dLti), we exclude firms that do not have long-term (short-term) investments in the past two fiscal years. At the end of June of each year t, we sort stocks into deciles based, separately, on dFin, dSti, dLti, dFnl, and dBe for the fiscal year ending in calendar year t - 1, all scaled by total assets (item AT) for the fiscal year ending in calendar year t - 2. Monthly decile returns are calculated from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.20,dFnl,changes in Book Equity,"Richardson, Sloan, Soliman, and Tuna",2005,Investment,data_rawa['dfnl'] = data_rawa['dfnl'] / data_rawa['at'].shift(1),* dfnl in dFin,0,1,0,0,"dFin is the change in net financial assets. Net financial assets are financial assets (Fna) minus financial liabilities (Fnl), with Fna = short-term investments (Compustat annual item IVST) + long-term investments (item IVAO), and Fnl = long-term debt (item DLTT) + debt in current liabilities (item DLC) + preferred stock (item PSTK). dSti is the change in short-term investments, dLti is the change in long-term investments, and dFnl is the change in financial liabilities. dBe is the change in book equity (item CEQ). Missing changes in debt in current liabilities, long-term investments, long-term debt, short-term investments, and preferred stocks are set to zero (at least one change has to be non-missing when constructing any variable). When constructing dSti (dLti), we exclude firms that do not have long-term (short-term) investments in the past two fiscal years. At the end of June of each year t, we sort stocks into deciles based, separately, on dFin, dSti, dLti, dFnl, and dBe for the fiscal year ending in calendar year t - 1, all scaled by total assets (item AT) for the fiscal year ending in calendar year t - 2. Monthly decile returns are calculated from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.22,Poa,Percent operating accruals,"Hafzalla, Lundholm, and Van Winkle",2011,Investment,data_rawa['poa'] = data_rawa['oa']/data_rawa['ni'],* oa(acc),0,1,0,0,"Accruals are traditionally scaled by total assets. Hafzalla, Lundholm, and Van Winkle (2011) show that scaling accruals by the absolute value of earnings (percent accruals) is more effective in se- lecting firms for which the differences between sophisticated and naive forecasts of earnings are the most extreme. To construct the percent operating accruals (Poa) deciles, at the end of June of each year t, we sort stocks into deciles based on operating accruals scaled by the absolute value of net income (Compustat annual item NI) for the fiscal year ending in calendar year t - 1. See Appendix A.3.16 for the measurement of operating accruals. Monthly decile returns are calculated from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.23,Pta,Percent total accruals,"Hafzalla, Lundholm, and Van Winkle",2011,Investment,,,,,,,"At the end of June of each year t, we sort stocks into deciles on percent total accruals, Pta, cal- culated as total accruals scaled by the absolute value of net income (Compustat annual item NI) for the fiscal year ending in calendar year t - 1. See Appendix A.3.17 for the measurement of total accruals. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of year t + 1."
A.3.24,Pda,Percent discretionary accruals,,,Investment,,,,,,,"At the end of June of each year t, we split stocks into deciles based on percent discretionary accruals, Pda, calculated as the discretionary accruals, Dac, for the fiscal year ending in calendar year t - 1 multiplied with total assets (Compustat annual item AT) for the fiscal year ending in t - 2 scaled by the absolute value of net income (item NI) for the fiscal year ending in t - 1. See Appendix A.3.21 for the measurement of discretionary accruals. Monthly decile returns are calculated from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.25,Ndf,Net debt ﬁnance,"Bradshaw, Richardson, and Sloan",2006,Investment,data_rawa['ndf'] = data_rawa['dltis'] - data_rawa['dltr'] + data_rawa['dlcch'] ,,0,1,0,0,"Net external financing, Nxf, is the sum of net equity financing, Nef, and net debt financing, Ndf (Bradshaw, Richardson, and Sloan 2006). Nef is the proceeds from the sale of common and pre- ferred stocks (Compustat annual item SSTK) less cash payments for the repurchases of common and preferred stocks (item PRSTKC) less cash payments for dividends (item DV). Ndf is the cash proceeds from the issuance of long-term debt (item DLTIS) less cash payments for long-term debt reductions (item DLTR) plus the net changes in current debt (item DLCCH, zero if missing). At the end of June of each year t, we sort stocks into deciles based on Nxf, and, separately, on Nef and Ndf, for the fiscal year ending in calendar year t - 1 scaled by the average of total assets for fiscal years ending in t - 2 and t - 1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1. Because the data on financing activities start in 1971, the portfolios start in July 1972."
A.3.3,"Ia q 6, and Ia q 12",Quarterly Investment-to-assets,"Cooper, Gulen, and Schill",2008,Investment,data_rawq['iaq'] = (data_rawq['atq']/data_rawq['atqlag'])-1,"data_rawq['atqlag'] = ttm4('atq',data_rawq)",0,0,1,0,"Quarterly investment-to-assets, Iaq, is defined as quarterly total assets (Compustat quarterly item ATQ) divided by four-quarter-lagged total assets minus one. At the beginning of each month t, we sort stocks into deciles based on Iaq for the latest fiscal quarter ending at least four months ago. Monthly decile returns are calculated for the current month t (Iaq1), from month t to t + 5 (Iaq6), and from month t to t + 11 (Iaq12), and the deciles are rebalanced at the beginning of month t + 1. The holding period longer than one month as in, for instance, Iaq6, means that for a given decile in each month there exist six subdeciles, each of which is initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Iaq6 decile."
A.3.4,dPia,Changes in PPE and Inventory-to-assets,"Lyandres, Sun, and Zhang",2008,Investment,data_rawa['dpia'] = (data_rawa['c_propty'] + data_rawa['c_invt']) / data_rawa['at'].shift(1),"data_rawa['c_propty'] = data_rawa['ppegt'] - data_rawa['ppegt'].shift(1)
data_rawa['c_invt'] = data_rawa['invt'] - data_rawa['invt'].shift(1)",0,1,0,0,"Changes in PPE and Inventory-to-assets, dPia, is defined as the annual change in gross property, plant, and equipment (Compustat annual item PPEGT) plus the annual change in inventory (item INVT) scaled by one-year-lagged total assets (item AT). At the end of June of each year t, we sort stocks into deciles based on dPia for the fiscal year ending in calendar year t-1. Monthly decile re- turns are computed from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.5,Noa and dNoa,(Changes in) Net Operating Assets,"Hirshleifer, Hou, Teoh, and Zhang",2004,Investment,"data_rawq['noa'] = (data_rawq['atq']-data_rawq['cheq']-data_rawq['ivaoq'])-\
                 (data_rawq['atq']-data_rawq['dlcq']-data_rawq['dlttq']-data_rawq['mibq']-data_rawq['pstkq']-data_rawq['ceqq'])/data_rawq['atq_l4']
data_rawa['dnoa'] = (data_rawa['net_op']-data_rawa['net_op'].shift(1))/ data_rawa['at'].shift(1)
","#noa
data_rawq['atq_l4'] = data_rawq.groupby(['permno'])['atq'].shift(4)
data_rawq['ivaoq'] = np.where(data_rawq['ivaoq'].isnull(), 0, 1)
data_rawq['dlcq'] = np.where(data_rawq['dlcq'].isnull(), 0, 1)
data_rawq['dlttq'] = np.where(data_rawq['dlttq'].isnull(), 0, 1)
data_rawq['mibq'] = np.where(data_rawq['mibq'].isnull(), 0, 1)
data_rawq['pstkq'] = np.where(data_rawq['pstkq'].isnull(), 0, 1)
# dNoa
data_rawa['dlc_0'] = np.where(data_rawa['dlc'].isnull(), 0, data_rawa['dlc'])
data_rawa['dltt_0'] = np.where(data_rawa['dltt'].isnull(), 0, data_rawa['dltt'])
data_rawa['mib_0'] = np.where(data_rawa['mib'].isnull(), 0, data_rawa['mib'])
data_rawa['pstk_0'] = np.where(data_rawa['pstk'].isnull(), 0, data_rawa['pstk'])

data_rawa['op_at'] = data_rawa['at'] - data_rawa['che']
data_rawa['op_lia'] = data_rawa['at'] - data_rawa['dlc_0'] - data_rawa['dltt_0'] - data_rawa['mib_0'] - data_rawa['pstk_0'] - data_rawa['ceq']
data_rawa['net_op'] = data_rawa['op_at'] - data_rawa['op_lia']",1,1,1,0,"Following Hirshleifer, Hou, Teoh, and Zhang (2004), we measure net operating assets as operating assets minus operating liabilities. Operating assets are total assets (Compustat annual item AT) minus cash and short-term investment (item CHE). Operating liabilities are total assets minus debt included in current liabilities (item DLC, zero if missing), minus long-term debt (item DLTT, zero if missing), minus minority interests (item MIB, zero if missing), minus preferred stocks (item PSTK, zero if missing), and minus common equity (item CEQ). Noa is net operating assets scalded by one-year-lagged total assets. Changes in net operating assets, dNoa, is the annual change in net operating assets scaled by one-year-lagged total assets. At the end of June of each year t, we sort stocks into deciles based on Noa, and separately, on dNOA, for the fiscal year ending in calendar year t - 1. Monthly decile returns are computed from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.6,dLno,Changes in Long-term Net Operating Assets,"Fairﬁeld, Whisenant, and Yohn",2003,Investment,"data_rawa['dlno'] = (data_rawa['ppent']-data_rawa['ppent'].shift(1)) + (data_rawa['intan']-data_rawa['intan'].shift(1)) + (data_rawa['ao']-data_rawa['ao'].shift(1)) - (data_rawa['lo']-data_rawa['lo'].shift(1)) + data_rawa['dp'] 
*
data_rawa['dlno'] = data_rawa['dlno'] / data_rawa['avg_at']","*
avg_at = []
for i in range(data_rawa.shape[0]):
  avg_at.append(data_rawa.loc[0:i, 'at'].mean())
data_rawa['avg_at'] = pd.DataFrame(avg_at)",0,1,0,0,"Following Fairfield, Whisenant, and Yohn (2003), we measure changes in long-term net operating assets as the annual change in net property, plant, and equipment (Compustat item PPENT) plus the change in intangibles (item INTAN) plus the change in other long-term assets (item AO) minus the change in other long-term liabilities (item LO) and plus depreciation and amortization expense (item DP). dLno is the change in long-term net operating assets scaled by the average of total assets (item AT) from the current and prior years. At the end of June of each year t, we sort stocks into deciles based on dLno for the fiscal year ending in calendar year t - 1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.7,Ig,Investment Growth,Xing,2008,Investment,data_rawa['ig'] = data_rawa['capx']/data_rawa['capx_l1'],data_rawa['capx_l1'] = data_rawa.groupby('permno')['capx'].shift(1),1,1,0,0,"At the end of June of each year t, we sort stocks into deciles based on investment growth, Ig, which is the growth rate in capital expenditure (Compustat annual item CAPX) from the fiscal year ending in calendar year t - 2 to the fiscal year ending in t - 1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.8,2Ig,2-year Investment Growth,Anderson and Garcia-Feijoo,2006,Investment,data_rawa['2ig'] = data_rawa['capx']/data_rawa['capx_l2'],data_rawa['capx_l2'] = data_rawa.groupby('permno')['capx'].shift(2),0,1,0,0,"At the end of June of each year t, we sort stocks into deciles based on two-year investment growth, 2Ig, which is the growth rate in capital expenditure (Compustat annual item CAPX) from the fiscal year ending in calendar year t - 3 to the fiscal year ending in t - 1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.4.1,"Roe1, Roe6",Return on Equity,"Hou, Xue, and Zhang",2015,Profitability,data_rawq['roe'] = data_rawq['ibq']/data_rawq['ceqq_l1'],data_rawq['ceqq_l1'] = data_rawq.groupby(['permno'])['ceqq'].shift(1),1,0,1,0,"Return on equity, Roe, is income before extraordinary items (Compustat quarterly item IBQ) di- vided by one-quarter-lagged book equity (Hou, Xue, and Zhang 2015). Book equity is shareholders' equity, plus balance sheet deferred taxes and investment tax credit (item TXDITCQ) if available, minus the book value of preferred stock (item PSTKQ). Depending on availability, we use stockhold- ers' equity (item SEQQ), or common equity (item CEQQ) plus the book value of preferred stock, or total assets (item ATQ) minus total liabilities (item LTQ) in that order as shareholders' equity."
A.4.11,"Gla q 1, Gla q 6, and Gla q 12",Quarterly Gross Proﬁts-to-lagged Assets,,,Profitability,,,,,,,"Glaq, is quarterly total revenue (Compustat quarterly item REVTQ) minus cost of goods sold (item COGSQ) divided by one-quarter-lagged total assets (item ATQ). At the beginning of each month t, we sort stocks into deciles based on Glaq for the fiscal quarter ending at least four months ago. Monthly decile returns are calculated for month t (Glaq1), from month t to t+5 (Glaq6), and from month t to t + 11 (Glaq12). The deciles are rebalanced at the beginning of t + 1. The holding period that is longer than one month as in, for instance, Glaq6, means that for a given decile in each month there exist six subdeciles, each of which is initiated in a different month in the prior six-month period. We take the simple average of the subdecile returns as the monthly return of the Glaq6 decile. For sufficient data coverage, the Glaq portfolios start in January 1976."
A.4.12,Ope(operprof),Operating Proﬁts to Equity,Fama and French,2015,Profitability,data_rawa['operprof'] = (data_rawa['revt']-data_rawa['cogs']-data_rawa['xsga0']-data_rawa['xint0'])/data_rawa['ceq_l1'],"data_rawa['cogs0'] = np.where(data_rawa['cogs'].isnull(), 0, data_rawa['cogs'])
data_rawa['xint0'] = np.where(data_rawa['xint'].isnull(), 0, data_rawa['xint'])
data_rawa['xsga0'] = np.where(data_rawa['xsga'].isnull(), 0, data_rawa['xsga'])",0,1,0,0,"Following Fama and French (2015), we measure operating profitability to equity, Ope, as total rev- enue (Compustat annual item REVT) minus cost of goods sold (item COGS, zero if missing), minus selling, general, and administrative expenses (item XSGA, zero if missing), and minus interest ex- pense (item XINT, zero if missing), scaled by book equity (the denominator is current, not lagged, book equity). We require at least one of the three expense items (COGS, XSGA, and XINT) to be non-missing. Book equity is stockholders' book equity, plus balance sheet deferred taxes and investment tax credit (item TXDITC) if available, minus the book value of preferred stock. Stock- holders' equity is the value reported by Compustat (item SEQ), if it is available. If not, we measure stockholders' equity as the book value of common equity (item CEQ) plus the par value of preferred stock (item PSTK), or the book value of assets (item AT) minus total liabilities (item LT). Depend- ing on availability, we use redemption (item PSTKRV), liquidating (item PSTKL), or par value (item PSTK) for the book value of preferred stock. At the end of June of each year t, we sort stocks into deciles based on Ope for the fiscal year ending in calendar year t - 1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.4.14,"Ole q 1, Ole q 6 ",Quarterly Operating Proﬁts-to-lagged Equity,,,Profitability,,,,,,,"Quarterly operating profits-to-lagged equity, Oleq, is quarterly total revenue (Compustat quarterly item REVTQ) minus cost of goods sold (item COGSQ, zero if missing), minus selling, general, and administrative expenses (item XSGAQ, zero if missing), and minus interest expense (item XINTQ, zero if missing), scaled by one-quarter-lagged book equity. We require at least one of the three expense items (COGSQ, XSGAQ, and XINTQ) to be non-missing. Book equity is shareholders' equity, plus balance sheet deferred taxes and investment tax credit (item TXDITCQ) if available, minus the book value of preferred stock (item PSTKQ). Depending on availability, we use stockhold- ers' equity (item SEQQ), or common equity (item CEQQ) plus the book value of preferred stock, or total assets (item ATQ) minus total liabilities (item LTQ) in that order as shareholders' equity.
At the beginning of each month t, we split stocks on Oleq for the fiscal quarter ending at least four months ago. Monthly decile returns are calculated for month t (Oleq 1), from month t to t + 5 (Oleq6), and from month t to t + 11 (Oleq12). The deciles are rebalanced at the beginning of t + 1. The holding period longer than one month as in Oleq6 means that for a given decile in each month there exist six subdeciles, each initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Oleq6 decile. For sufficient data coverage, the Oleq portfolios start in January 1972."
A.4.15,Opa,Operating Proﬁts-to-assets,"Linnainmaa, and Nikolaev",2015,Profitability,,,,,,,"Following Ball, Gerakos, Linnainmaa, and Nikolaev (2015), we measure operating profits-to-assets, Opa, as total revenue (Compustat annual item REVT) minus cost of goods sold (item COGS), minus selling, general, and administrative expenses (item XSGA), and plus research and develop- ment expenditures (item XRD, zero if missing), scaled by book assets (item AT, the denominator is current, not lagged, total assets). At the end of June of each year t, we sort stocks into deciles based on Opa for the fiscal year ending in calendar year t-1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.4.17,"Ola q 1, Ola q 6, and Ola q 12",Quarterly Operating Proﬁts-to-lagged Assets,,,Profitability,,,,,,,"Quarterly operating profits-to-lagged assets, Olaq, is quarterly total revenue (Compustat quarterly item REVTQ) minus cost of goods sold (item COGSQ), minus selling, general, and administra- tive expenses (item XSGAQ), plus research and development expenditures (item XRDQ, zero if missing), scaled by one-quarter-lagged book assets (item ATQ). At the beginning of each month t, we sort stocks into deciles based on Olaq for the fiscal quarter ending at least four months ago. Monthly decile returns are calculated for month t (Olaq1), from month t to t+5 (Olaq6), and from month t to t + 11 (Olaq12). The deciles are rebalanced at the beginning of t + 1. The holding period longer than one month as in Olaq6 means that for a given decile in each month there exist six subdeciles, each initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Olaq6 decile. For sufficient data coverage, the Olaq portfolios start in January 1976."
A.4.18,Cop,Cash-based Operating Proﬁtability,"Gerakos, Linnainmaa, and Nikolaev",2016,Profitability,"data_rawa['cop'] = data_rawa['revt'] - data_rawa['cogs'] - data_rawa['xsga'] + data_rawa['xrd_0']\
                 - data_rawa['d_rect_0'] - data_rawa['d_invt_0'] - data_rawa['d_xpp_0']\
                 + data_rawa['d_dr_0'] + data_rawa['d_ap_0'] + data_rawa['d_xacc_0']
data_rawa['cop'] = data_rawa['cop'] / data_rawa['at'] ",* Cla,0,1,0,0,"Following Ball, Gerakos, Linnainmaa, and Nikolaev (2016), we measure cash-based operating prof- itability, Cop, as total revenue (Compustat annual item REVT) minus cost of goods sold (item COGS), minus selling, general, and administrative expenses (item XSGA), plus research and de- velopment expenditures (item XRD, zero if missing), minus change in accounts receivable (item RECT), minus change in inventory (item INVT), minus change in prepaid expenses (item XPP), plus change in deferred revenue (item DRC plus item DRLT), plus change in trade accounts payable (item AP), and plus change in accrued expenses (item XACC), all scaled by book assets (item AT, the denominator is current, not lagged, total assets). All changes are annual changes in balance sheet items and we set missing changes to zero. At the end of June of each year t, we sort stocks into deciles based on Cop for the fiscal year ending in calendar year t - 1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.4.19,Cla,Cash-based Operating Proﬁts-to-lagged Assets,,,Profitability,"data_rawa['cla'] = data_rawa['revt'] - data_rawa['cogs'] - data_rawa['xsga'] + data_rawa['xrd_0']\
                 - data_rawa['d_rect_0'] - data_rawa['d_invt_0'] - data_rawa['d_xpp_0']\
                 + data_rawa['d_dr_0'] + data_rawa['d_ap_0'] + data_rawa['d_xacc_0']
data_rawa['cla'] = data_rawa['cla'] / data_rawa['at'].shift(1)","data_rawa['d_rect'] = data_rawa['rect'] - data_rawa['rect'].shift(1)
data_rawa['d_invt'] = data_rawa['invt'] - data_rawa['invt'].shift(1)
data_rawa['d_xpp'] = data_rawa['xpp'] - data_rawa['xpp'].shift(1)
data_rawa['d_dr'] = (data_rawa['drc']-data_rawa['drc'].shift(1)) + (data_rawa['drlt']-data_rawa['drlt'].shift(1))
data_rawa['d_ap'] = data_rawa['ap'] - data_rawa['ap'].shift(1)
data_rawa['d_xacc'] = data_rawa['xacc'] - data_rawa['xacc'].shift(1)

data_rawa['xrd_0'] = np.where(data_rawa['xrd'].isnull(), 0, data_rawa['xrd'])
data_rawa['d_rect_0'] = np.where(data_rawa['d_rect'].isnull(), 0, data_rawa['d_rect'])
data_rawa['d_invt_0'] = np.where(data_rawa['d_invt'].isnull(), 0, data_rawa['d_invt'])
data_rawa['d_xpp_0'] = np.where(data_rawa['d_xpp'].isnull(), 0, data_rawa['d_xpp'])
data_rawa['d_dr_0'] = np.where(data_rawa['d_dr'].isnull(), 0, data_rawa['d_dr'])
data_rawa['d_ap_0'] = np.where(data_rawa['d_ap'].isnull(), 0, data_rawa['d_ap'])
data_rawa['d_xacc_0'] = np.where(data_rawa['d_xacc'].isnull(), 0, data_rawa['d_xacc'])",0,1,0,0,"Cash-based operating profits-to-lagged assets, Cla, is total revenue (Compustat annual item REVT) minus cost of goods sold (item COGS), minus selling, general, and administrative expenses (item XSGA), plus research and development expenditures (item XRD, zero if missing), minus change in accounts receivable (item RECT), minus change in inventory (item INVT), minus change in prepaid expenses (item XPP), plus change in deferred revenue (item DRC plus item DRLT), plus change in trade accounts payable (item AP), and plus change in accrued expenses (item XACC), all scaled by one-year-lagged book assets (item AT). All changes are annual changes in balance sheet items and we set missing changes to zero. At the end of June of each year t, we sort stocks into deciles based on Cla for the fiscal year ending in calendar year t - 1. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.4.2,"dRoe1, dRoe6, and dRoe12",Changes in Return on Equity,"Hou, Xue, and Zhang",2015,Profitability,,,,,,,"Change in return on equity, dRoe, is return on equity minus its value from four quarters ago. See Appendix A.4.1 for the measurement of return on equity. At the beginning of each month t, we sort all stocks into deciles on their most recent past dRoe. Before 1972, we use the most recent dRoe with quarterly earnings from fiscal quarters ending at least four months ago. Starting from 1972, we use dRoe computed with quarterly earnings from the most recent quarterly earnings announcement dates (Compustat quarterly item RDQ). For a firm to enter the portfolio formation, we require the end of the fiscal quarter that corresponds to its most recent dRoe to be within six months prior to the portfolio formation. This restriction is imposed to exclude stale earnings information. To avoid potentially erroneous records, we also require the earnings announcement date to be after the corresponding fiscal quarter end. Monthly decile returns are calculated for the current month t (dRoe1), from month t to t + 5 (dRoe6), and from month t to t + 11 (dRoe12). The deciles are rebalanced monthly. The holding period that is longer than one month as in, for instance, dRoe6, means that for a given decile in each month there exist six subdeciles, each of which is initiated in a different month in the prior six-month period. We take the simple average of the subdeciles returns as the monthly return of the dRoe6 decile."
A.4.20,Claq,Quarterly Cash-based Operating Proﬁts-to-lagged Assets,,,Profitability,,,,,,,"Quarterly cash-based operating profits-to-lagged assets, Cla, is quarterly total revenue (Compustat quarterly item REVTQ) minus cost of goods sold (item COGSQ), minus selling, general, and ad- ministrative expenses (item XSGAQ), plus research and development expenditures (item XRDQ, zero if missing), minus change in accounts receivable (item RECTQ), minus change in inventory (item INVTQ), plus change in deferred revenue (item DRCQ plus item DRLTQ), and plus change in trade accounts payable (item APQ), all scaled by one-quarter-lagged book assets (item ATQ). All changes are quarterly changes in balance sheet items and we set missing changes to zero. At the beginning of each month t, we split stocks on Claq for the fiscal quarter ending at least four months ago. Monthly decile returns are calculated for month t (Claq1), from month t to t + 5 (Claq6), and from month t to t + 11 (Claq12). The deciles are rebalanced at the beginning of t + 1. The holding period longer than one month as in Claq6 means that for a given decile in each month there exist six subdeciles, each initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Claq6 decile. For sufficient data coverage, the Claq portfolios start in January 1976."
